solver,time,file,result
utopia,20.552950143814087,../testfiles/competitions/2011/application/SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-18-step15.cnf.bz2,UNSATISFIABLE
utopia,210.91004586219788,../testfiles/competitions/2011/application/SAT07/industrial/manolios/manol-pipe-f7idw.cnf.bz2,UNSATISFIABLE
utopia,22.489273071289062,../testfiles/competitions/2011/application/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-rfunit_flat-64-tseitin.cnf.bz2,SATISFIABLE
utopia,224.6448678970337,../testfiles/competitions/2011/application/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.160-NOTKNOWN.cnf.bz2,SATISFIABLE
utopia,227.57095980644223,../testfiles/competitions/2011/application/SAT_RACE08/cnf/manol-pipe-c6bidw_i.cnf.bz2,UNSATISFIABLE
utopia,231.7972548007965,../testfiles/competitions/2011/application/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom13.cnf.bz2,UNSATISFIABLE
utopia,236.4149830341339,../testfiles/competitions/2011/application/SAT09/APPLICATIONS/diagnosis/UCG-15-5p0.cnf.bz2,UNSATISFIABLE
utopia,239.4902210235596,../testfiles/competitions/2011/application/SAT02/industrial/nam/fpga-routing/k2fix_gr_rcs_w9.shuffled.cnf.bz2,UNSATISFIABLE
utopia,25.06546711921692,../testfiles/competitions/2011/application/SAT_RACE06/velev-pipe-sat-1.0-b9.cnf.bz2,SATISFIABLE
utopia,25.25203824043274,../testfiles/competitions/2011/application/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtswvsam6x8p3-tseitin.cnf.bz2,UNSATISFIABLE
utopia,258.28519582748413,../testfiles/competitions/2011/application/SAT11/application/fuhs/AProVE11/AProVE11-11.cnf.bz2,UNSATISFIABLE
utopia,28.329778909683228,../testfiles/competitions/2011/application/SAT11/application/leberre/2dimensionalstrippacking/E05X15.cnf.bz2,UNSATISFIABLE
